"","member_casual","start_station_name","number_of_station"
"301","casual","Glenwood Ave & Touhy Ave",776
"302","casual","Green St & Madison St",10326
"303","casual","Green St & Randolph St",9662
"304","casual","Greenview Ave & Diversey Pkwy",3189
"305","casual","Greenview Ave & Fullerton Ave",5406
"306","casual","Greenview Ave & Jarvis Ave",813
"307","casual","Greenwood Ave & 47th St",985
"308","casual","Greenwood Ave & 79th St",117
"309","casual","Greenwood Ave & 91st St",39
"310","casual","Greenwood Ave & 97th St",197
"311","casual","Hale Ave & 107th St",144
"312","casual","Halsted & 63rd - Kennedy-King Vaccination Site",128
"313","casual","Halsted St & 104th St",68
"314","casual","Halsted St & 111th St",65
"315","casual","Halsted St & 18th St",654
"316","casual","Halsted St & 18th St (Temp)",725
"317","casual","Halsted St & 21st St",1054
"318","casual","Halsted St & 35th St",767
"319","casual","Halsted St & 37th St",269
"320","casual","Halsted St & 47th Pl",255
"321","casual","Halsted St & 51st St",52
"322","casual","Halsted St & 56th St",69
"323","casual","Halsted St & 59th St",31
"324","casual","Halsted St & 69th St",56
"325","casual","Halsted St & 73rd St",72
"326","casual","Halsted St & 78th St",72
"327","casual","Halsted St & 96th St",65
"328","casual","Halsted St & Archer Ave",738
"329","casual","Halsted St & Clybourn Ave",7117
"330","casual","Halsted St & Dickens Ave",7270
"331","casual","Halsted St & Maxwell St",2748
"332","casual","Halsted St & North Branch St",1016
"333","casual","Halsted St & Polk St",1815
"334","casual","Halsted St & Roosevelt Rd",1142
"335","casual","Halsted St & Roscoe St",10010
"336","casual","Halsted St & Willow St",4411
"337","casual","Halsted St & Wrightwood Ave",8176
"338","casual","Hamlin Ave & 62nd Pl",9
"339","casual","Hampden Ct & Diversey Ave",176
"340","casual","Harding Ave & 26th St",16
"341","casual","Harlem & Irving Park",30
"342","casual","Harlem Ave & Grace St",18
"343","casual","Harper Ave & 59th St",1073
"344","casual","Hegewisch Metra Station",46
"345","casual","Hermitage Ave & Polk St",309
"346","casual","Homan Ave & Fillmore St",42
"347","casual","Homewood Ave & 115th St",118
"348","casual","Honore St & Division St",5583
"349","casual","Houston Ave & 92nd St",76
"350","casual","Hoyne Ave & 34th St",11
"351","casual","Hoyne Ave & 47th St",172
"352","casual","Hoyne Ave & Balmoral Ave",758
"353","casual","Humboldt Blvd & Armitage Ave",2947
"354","casual","Indiana Ave & 103rd St",82
"355","casual","Indiana Ave & 133rd St",1
"356","casual","Indiana Ave & 26th St",835
"357","casual","Indiana Ave & 31st St",924
"358","casual","Indiana Ave & 40th St",254
"359","casual","Indiana Ave & Roosevelt Rd",15780
"360","casual","Jefferson St & Monroe St",2970
"361","casual","Jeffery Blvd & 67th St",488
"362","casual","Jeffery Blvd & 71st St",265
"363","casual","Jeffery Blvd & 76th St",159
"364","casual","Karlov Ave & Madison St",82
"365","casual","Kedzie Ave & 104th St",16
"366","casual","Kedzie Ave & 110th St",68
"367","casual","Kedzie Ave & 21st St",204
"368","casual","Kedzie Ave & 24th St",115
"369","casual","Kedzie Ave & 45th St",2
"370","casual","Kedzie Ave & 48th Pl",35
"371","casual","Kedzie Ave & 52nd St",20
"372","casual","Kedzie Ave & 57th St",17
"373","casual","Kedzie Ave & Bryn Mawr Ave",419
"374","casual","Kedzie Ave & Chicago Ave",350
"375","casual","Kedzie Ave & Foster Ave",533
"376","casual","Kedzie Ave & George St",8
"377","casual","Kedzie Ave & Harrison St",120
"378","casual","Kedzie Ave & Lake St",381
"379","casual","Kedzie Ave & Leland Ave",575
"380","casual","Kedzie Ave & Milwaukee Ave",5448
"381","casual","Kedzie Ave & Palmer Ct",1910
"382","casual","Kedzie Ave & Roosevelt Rd",215
"383","casual","Keeler Ave & Roosevelt Rd",27
"384","casual","Kenneth Ave & 50th St",7
"385","casual","Kenosha & Wellington",14
"386","casual","Kenton Ave & Madison St",74
"387","casual","Keystone Ave & Fullerton Ave",493
"388","casual","Keystone Ave & Montrose Ave",373
"389","casual","Kilbourn & Belden",40
"390","casual","Kilbourn & Roscoe",50
"391","casual","Kilbourn Ave & Irving Park Rd",164
"392","casual","Kilbourn Ave & Milwaukee Ave",161
"393","casual","Kildare Ave & 26th St",7
"394","casual","Kildare Ave & 47th St",3
"395","casual","Kildare Ave & 55th St",5
"396","casual","Kildare Ave & Chicago Ave",10
"397","casual","Kildare Ave & Division St",11
"398","casual","Kildare Ave & Montrose Ave",294
"399","casual","Kilpatrick Ave & Grand Ave",8
"400","casual","Kilpatrick Ave & Parker Ave",37
"401","casual","Kimball Ave & Belmont Ave",892
"402","casual","Kimbark Ave & 53rd St",4460
"403","casual","Kingsbury St & Erie St",6015
"404","casual","Kingsbury St & Kinzie St",9481
"405","casual","Knox Ave & Montrose Ave",228
"406","casual","Komensky Ave & 31st St",29
"407","casual","Komensky Ave & 55th St",8
"408","casual","Kosciuszko Park",1064
"409","casual","Kostner Ave & 63rd St",10
"410","casual","Kostner Ave & Adams St",76
"411","casual","Kostner Ave & Lake St",72
"412","casual","Kostner Ave & Wrightwood Ave",63
"413","casual","Laflin St & Cullerton St",1144
"414","casual","Lake Park Ave & 35th St",2253
"415","casual","Lake Park Ave & 47th St",1353
"416","casual","Lake Park Ave & 53rd St",3230
"417","casual","Lake Park Ave & 56th St",2302
"418","casual","Lake Shore Dr & Belmont Ave",5332
"419","casual","Lake Shore Dr & Diversey Pkwy",5617
"420","casual","Lake Shore Dr & Monroe St",18896
"421","casual","Lake Shore Dr & North Blvd",14318
"422","casual","Lake Shore Dr & Ohio St",6043
"423","casual","Lake Shore Dr & Wellington Ave",4889
"424","casual","Lakefront Trail & Bryn Mawr Ave",7279
"425","casual","Lakefront Trail & Wilson Ave",4419
"426","casual","Lakeview Ave & Fullerton Pkwy",11545
"427","casual","Lamon Ave & Armitage Ave",42
"428","casual","Lamon Ave & Belmont Ave",32
"429","casual","Lamon Ave & Chicago Ave",6
"430","casual","Laramie Ave & Gladys Ave",46
"431","casual","Laramie Ave & Kinzie St",118
"432","casual","Laramie Ave & Madison St",90
"433","casual","Larrabee St & Armitage Ave",4412
"434","casual","Larrabee St & Division St",4883
"435","casual","Larrabee St & Kingsbury St",4338
"436","casual","Larrabee St & Menomonee St",2038
"437","casual","Larrabee St & North Ave",3224
"438","casual","Larrabee St & Oak St",2290
"439","casual","Larrabee St & Webster Ave",12634
"440","casual","LaSalle Dr & Huron St",6451
"441","casual","LaSalle St & Adams St",2375
"442","casual","LaSalle St & Illinois St",12033
"443","casual","LaSalle St & Jackson Blvd",3257
"444","casual","LaSalle St & Washington St",3232
"445","casual","Latrobe Ave & Chicago Ave",85
"446","casual","Lavergne & Fullerton",28
"447","casual","Lavergne Ave & 46th St",8
"448","casual","Lavergne Ave & Division St",21
"449","casual","Lawler Ave & 50th St",14
"450","casual","Lawndale Ave & 111th St",207
"451","casual","Lawndale Ave & 16th St",17
"452","casual","Lawndale Ave & 30th St",56
"453","casual","Leamington Ave & Hirsch St",10
"454","casual","Leavitt St & Addison St",1032
"455","casual","Leavitt St & Archer Ave",315
"456","casual","Leavitt St & Armitage Ave",2350
"457","casual","Leavitt St & Belmont Ave",1690
"458","casual","Leavitt St & Chicago Ave",1815
"459","casual","Leavitt St & Division St",1624
"460","casual","Leavitt St & Lawrence Ave",931
"461","casual","Leavitt St & North Ave",3056
"462","casual","Lincoln Ave & Addison St",1499
"463","casual","Lincoln Ave & Balmoral Ave",6
"464","casual","Lincoln Ave & Belle Plaine Ave",1953
"465","casual","Lincoln Ave & Belmont Ave",4182
"466","casual","Lincoln Ave & Diversey Pkwy",6145
"467","casual","Lincoln Ave & Fullerton Ave",10421
"468","casual","Lincoln Ave & Peterson Ave",2
"469","casual","Lincoln Ave & Roscoe St",4469
"470","casual","Lincoln Ave & Sunnyside Ave",1653
"471","casual","Lincoln Ave & Waveland Ave",1739
"472","casual","Lincoln Ave & Winona St",922
"473","casual","Lincoln Park Conservatory",9087
"474","casual","Lincolnwood Dr & Central St",237
"475","casual","Lockwood Ave & Wrightwood Ave",79
"476","casual","Logan Blvd & Elston Ave",2491
"477","casual","Long & Irving Park",90
"478","casual","Long Ave & Belden Ave",26
"479","casual","Long Ave & Belmont Ave",44
"480","casual","Long Ave & North Ave",14
"481","casual","Loomis Blvd & 84th St",119
"482","casual","Loomis St & 89th St",80
"483","casual","Loomis St & Archer Ave",436
"484","casual","Loomis St & Jackson Blvd",1995
"485","casual","Loomis St & Lexington St",2563
